"Num","Title","Year","Runtime","Director","Writer","Metascore","imdbRating","imdbVotes","BoxOffice","Production","First Actor","Second Actor","Third Actor","Fourth Actor","Awards","Nominations","Genre","Language","Country"
1,"The Shawshank Redemption",1994,142,"Frank Darabont","Stephen King ",80,9.3,NA,NA,"Columbia Pictures","Tim Robbins","Morgan Freeman","Bob Gunton","William Sadler",19,37,"Crime","English","USA"
1,"The Shawshank Redemption",1994,142,"Frank Darabont","Stephen King ",80,9.3,NA,NA,"Columbia Pictures","Tim Robbins","Morgan Freeman","Bob Gunton","William Sadler",19,37,"Drama","English","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Crime","English","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Crime","Italian","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Crime","Latin","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Drama","English","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Drama","Italian","USA"
2,"The Godfather",1972,175,"Francis Ford Coppola","Mario Puzo ",100,9.2,NA,NA,"Paramount Pictures","Marlon Brando","Al Pacino","James Caan","Richard S. Castellano",26,27,"Drama","Latin","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Crime","English","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Crime","Italian","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Crime","Spanish","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Drama","English","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Drama","Italian","USA"
3,"The Godfather: Part II",1974,202,"Francis Ford Coppola","Francis Ford Coppola ",85,9,NA,NA,"Paramount Pictures","Al Pacino","Robert Duvall","Diane Keaton","Robert De Niro",16,20,"Drama","Spanish","USA"
